
==========

Using device:  cuda
Model: swinv2
Learning Rate: 0.0003
LR Scheduler: None
Epochs: 10
Batch Size: 128

==========Starting Training========

Epoch [1/10] - Batch [1/250] Loss: 3.76, CurLR: 0.0003
Epoch [1/10] - Batch [2/250] Loss: 3.75, CurLR: 0.0003
Epoch [1/10] - Batch [3/250] Loss: 3.77, CurLR: 0.0003
Epoch [1/10] - Batch [4/250] Loss: 3.71, CurLR: 0.0003
Epoch [1/10] - Batch [5/250] Loss: 3.66, CurLR: 0.0003
Epoch [1/10] - Batch [6/250] Loss: 3.71, CurLR: 0.0003
Epoch [1/10] - Batch [7/250] Loss: 3.69, CurLR: 0.0003
Epoch [1/10] - Batch [8/250] Loss: 3.66, CurLR: 0.0003
Epoch [1/10] - Batch [9/250] Loss: 3.65, CurLR: 0.0003
Epoch [1/10] - Batch [10/250] Loss: 3.58, CurLR: 0.0003
Epoch [1/10] - Batch [11/250] Loss: 3.55, CurLR: 0.0003
Epoch [1/10] - Batch [12/250] Loss: 3.55, CurLR: 0.0003
Epoch [1/10] - Batch [13/250] Loss: 3.49, CurLR: 0.0003
Epoch [1/10] - Batch [14/250] Loss: 3.55, CurLR: 0.0003
Epoch [1/10] - Batch [15/250] Loss: 3.51, CurLR: 0.0003
Epoch [1/10] - Batch [16/250] Loss: 3.52, CurLR: 0.0003
Epoch [1/10] - Batch [17/250] Loss: 3.50, CurLR: 0.0003
Epoch [1/10] - Batch [18/250] Loss: 3.42, CurLR: 0.0003
Epoch [1/10] - Batch [19/250] Loss: 3.47, CurLR: 0.0003
Epoch [1/10] - Batch [20/250] Loss: 3.42, CurLR: 0.0003
Epoch [1/10] - Batch [21/250] Loss: 3.43, CurLR: 0.0003
Epoch [1/10] - Batch [22/250] Loss: 3.42, CurLR: 0.0003
Epoch [1/10] - Batch [23/250] Loss: 3.38, CurLR: 0.0003
Epoch [1/10] - Batch [24/250] Loss: 3.35, CurLR: 0.0003
Epoch [1/10] - Batch [25/250] Loss: 3.39, CurLR: 0.0003
Epoch [1/10] - Batch [26/250] Loss: 3.42, CurLR: 0.0003
Epoch [1/10] - Batch [27/250] Loss: 3.29, CurLR: 0.0003
Epoch [1/10] - Batch [28/250] Loss: 3.27, CurLR: 0.0003
Epoch [1/10] - Batch [29/250] Loss: 3.27, CurLR: 0.0003
Epoch [1/10] - Batch [30/250] Loss: 3.32, CurLR: 0.0003
Epoch [1/10] - Batch [31/250] Loss: 3.39, CurLR: 0.0003
Epoch [1/10] - Batch [32/250] Loss: 3.27, CurLR: 0.0003
Epoch [1/10] - Batch [33/250] Loss: 3.25, CurLR: 0.0003
Epoch [1/10] - Batch [34/250] Loss: 3.21, CurLR: 0.0003
Epoch [1/10] - Batch [35/250] Loss: 3.25, CurLR: 0.0003
Epoch [1/10] - Batch [36/250] Loss: 3.17, CurLR: 0.0003
Epoch [1/10] - Batch [37/250] Loss: 3.23, CurLR: 0.0003
Epoch [1/10] - Batch [38/250] Loss: 3.14, CurLR: 0.0003
Epoch [1/10] - Batch [39/250] Loss: 3.16, CurLR: 0.0003
Epoch [1/10] - Batch [40/250] Loss: 3.12, CurLR: 0.0003
Epoch [1/10] - Batch [41/250] Loss: 3.18, CurLR: 0.0003
Epoch [1/10] - Batch [42/250] Loss: 3.22, CurLR: 0.0003
Epoch [1/10] - Batch [43/250] Loss: 3.09, CurLR: 0.0003
Epoch [1/10] - Batch [44/250] Loss: 3.12, CurLR: 0.0003
Epoch [1/10] - Batch [45/250] Loss: 3.05, CurLR: 0.0003
Epoch [1/10] - Batch [46/250] Loss: 3.16, CurLR: 0.0003
Epoch [1/10] - Batch [47/250] Loss: 3.13, CurLR: 0.0003
Epoch [1/10] - Batch [48/250] Loss: 3.08, CurLR: 0.0003
Epoch [1/10] - Batch [49/250] Loss: 3.10, CurLR: 0.0003
Epoch [1/10] - Batch [50/250] Loss: 2.95, CurLR: 0.0003
Epoch [1/10] - Batch [51/250] Loss: 2.97, CurLR: 0.0003
Epoch [1/10] - Batch [52/250] Loss: 2.98, CurLR: 0.0003
Epoch [1/10] - Batch [53/250] Loss: 2.94, CurLR: 0.0003
Epoch [1/10] - Batch [54/250] Loss: 3.07, CurLR: 0.0003
Epoch [1/10] - Batch [55/250] Loss: 3.02, CurLR: 0.0003
Epoch [1/10] - Batch [56/250] Loss: 2.93, CurLR: 0.0003
Epoch [1/10] - Batch [57/250] Loss: 2.83, CurLR: 0.0003
Epoch [1/10] - Batch [58/250] Loss: 2.95, CurLR: 0.0003
Epoch [1/10] - Batch [59/250] Loss: 2.88, CurLR: 0.0003
Epoch [1/10] - Batch [60/250] Loss: 2.92, CurLR: 0.0003
Epoch [1/10] - Batch [61/250] Loss: 2.84, CurLR: 0.0003
Epoch [1/10] - Batch [62/250] Loss: 2.97, CurLR: 0.0003
Epoch [1/10] - Batch [63/250] Loss: 2.87, CurLR: 0.0003
Epoch [1/10] - Batch [64/250] Loss: 2.84, CurLR: 0.0003
Epoch [1/10] - Batch [65/250] Loss: 2.88, CurLR: 0.0003
Epoch [1/10] - Batch [66/250] Loss: 2.79, CurLR: 0.0003
Epoch [1/10] - Batch [67/250] Loss: 2.88, CurLR: 0.0003
