
==========

Using device:  cuda
Model: dinov2
Learning Rate: 0.0004
LR Scheduler: cosinealr
Epochs: 10
Batch Size: 128

==========Starting Training========

Epoch [1/10] - Batch [1/250] Loss: 3.93, CurLR: 0.0004
Epoch [1/10] - Batch [2/250] Loss: 3.85, CurLR: 0.0004
Epoch [1/10] - Batch [3/250] Loss: 3.50, CurLR: 0.0004
Epoch [1/10] - Batch [4/250] Loss: 3.47, CurLR: 0.0004
Epoch [1/10] - Batch [5/250] Loss: 3.31, CurLR: 0.0004
Epoch [1/10] - Batch [6/250] Loss: 3.15, CurLR: 0.0004
Epoch [1/10] - Batch [7/250] Loss: 3.10, CurLR: 0.0004
Epoch [1/10] - Batch [8/250] Loss: 2.98, CurLR: 0.0004
Epoch [1/10] - Batch [9/250] Loss: 2.84, CurLR: 0.0004
Epoch [1/10] - Batch [10/250] Loss: 2.63, CurLR: 0.0004
Epoch [1/10] - Batch [11/250] Loss: 2.55, CurLR: 0.0004
Epoch [1/10] - Batch [12/250] Loss: 2.41, CurLR: 0.0004
Epoch [1/10] - Batch [13/250] Loss: 2.45, CurLR: 0.0004
Epoch [1/10] - Batch [14/250] Loss: 2.13, CurLR: 0.0004
Epoch [1/10] - Batch [15/250] Loss: 2.07, CurLR: 0.0004
Epoch [1/10] - Batch [16/250] Loss: 2.16, CurLR: 0.0004
Epoch [1/10] - Batch [17/250] Loss: 2.01, CurLR: 0.0004
Epoch [1/10] - Batch [18/250] Loss: 1.90, CurLR: 0.0004
Epoch [1/10] - Batch [19/250] Loss: 1.83, CurLR: 0.0004
Epoch [1/10] - Batch [20/250] Loss: 1.79, CurLR: 0.0004
Epoch [1/10] - Batch [21/250] Loss: 1.73, CurLR: 0.0004
Epoch [1/10] - Batch [22/250] Loss: 1.65, CurLR: 0.0004
Epoch [1/10] - Batch [23/250] Loss: 1.54, CurLR: 0.0004
Epoch [1/10] - Batch [24/250] Loss: 1.70, CurLR: 0.0004
Epoch [1/10] - Batch [25/250] Loss: 1.57, CurLR: 0.0004
Epoch [1/10] - Batch [26/250] Loss: 1.66, CurLR: 0.0004
Epoch [1/10] - Batch [27/250] Loss: 1.50, CurLR: 0.0004
Epoch [1/10] - Batch [28/250] Loss: 1.37, CurLR: 0.0004
Epoch [1/10] - Batch [29/250] Loss: 1.36, CurLR: 0.0004
Epoch [1/10] - Batch [30/250] Loss: 1.47, CurLR: 0.0004
Epoch [1/10] - Batch [31/250] Loss: 1.48, CurLR: 0.0004
Epoch [1/10] - Batch [32/250] Loss: 1.22, CurLR: 0.0004
Epoch [1/10] - Batch [33/250] Loss: 1.36, CurLR: 0.0004
Epoch [1/10] - Batch [34/250] Loss: 1.35, CurLR: 0.0004
Epoch [1/10] - Batch [35/250] Loss: 1.33, CurLR: 0.0004
Epoch [1/10] - Batch [36/250] Loss: 1.36, CurLR: 0.0004
Epoch [1/10] - Batch [37/250] Loss: 1.12, CurLR: 0.0004
Epoch [1/10] - Batch [38/250] Loss: 1.08, CurLR: 0.0004
Epoch [1/10] - Batch [39/250] Loss: 1.12, CurLR: 0.0004
Epoch [1/10] - Batch [40/250] Loss: 1.04, CurLR: 0.0004
Epoch [1/10] - Batch [41/250] Loss: 1.13, CurLR: 0.0004
Epoch [1/10] - Batch [42/250] Loss: 1.07, CurLR: 0.0004
Epoch [1/10] - Batch [43/250] Loss: 1.19, CurLR: 0.0004
Epoch [1/10] - Batch [44/250] Loss: 0.94, CurLR: 0.0004
Epoch [1/10] - Batch [45/250] Loss: 1.09, CurLR: 0.0004
Epoch [1/10] - Batch [46/250] Loss: 1.13, CurLR: 0.0004
Epoch [1/10] - Batch [47/250] Loss: 1.13, CurLR: 0.0004
Epoch [1/10] - Batch [48/250] Loss: 1.25, CurLR: 0.0004
Epoch [1/10] - Batch [49/250] Loss: 1.05, CurLR: 0.0004
Epoch [1/10] - Batch [50/250] Loss: 1.07, CurLR: 0.0004
Epoch [1/10] - Batch [51/250] Loss: 1.14, CurLR: 0.0004
Epoch [1/10] - Batch [52/250] Loss: 1.09, CurLR: 0.0004
Epoch [1/10] - Batch [53/250] Loss: 1.09, CurLR: 0.0004
Epoch [1/10] - Batch [54/250] Loss: 1.21, CurLR: 0.0004
Epoch [1/10] - Batch [55/250] Loss: 1.08, CurLR: 0.0004
Epoch [1/10] - Batch [56/250] Loss: 1.10, CurLR: 0.0004
Epoch [1/10] - Batch [57/250] Loss: 0.96, CurLR: 0.0004
Epoch [1/10] - Batch [58/250] Loss: 1.05, CurLR: 0.0004
Epoch [1/10] - Batch [59/250] Loss: 0.93, CurLR: 0.0004
Epoch [1/10] - Batch [60/250] Loss: 1.22, CurLR: 0.0004
Epoch [1/10] - Batch [61/250] Loss: 1.00, CurLR: 0.0004
Epoch [1/10] - Batch [62/250] Loss: 1.09, CurLR: 0.0004
Epoch [1/10] - Batch [63/250] Loss: 0.84, CurLR: 0.0004
Epoch [1/10] - Batch [64/250] Loss: 1.19, CurLR: 0.0004
Epoch [1/10] - Batch [65/250] Loss: 1.05, CurLR: 0.0004
Epoch [1/10] - Batch [66/250] Loss: 1.14, CurLR: 0.0004
Epoch [1/10] - Batch [67/250] Loss: 1.06, CurLR: 0.0004
Epoch [1/10] - Batch [68/250] Loss: 1.13, CurLR: 0.0004
Epoch [1/10] - Batch [69/250] Loss: 1.03, CurLR: 0.0004
Epoch [1/10] - Batch [70/250] Loss: 0.78, CurLR: 0.0004
Epoch [1/10] - Batch [71/250] Loss: 1.05, CurLR: 0.0004
Epoch [1/10] - Batch [72/250] Loss: 0.89, CurLR: 0.0004
Epoch [1/10] - Batch [73/250] Loss: 1.07, CurLR: 0.0004
Epoch [1/10] - Batch [74/250] Loss: 1.26, CurLR: 0.0004
Epoch [1/10] - Batch [75/250] Loss: 0.98, CurLR: 0.0004
Epoch [1/10] - Batch [76/250] Loss: 0.85, CurLR: 0.0004
Epoch [1/10] - Batch [77/250] Loss: 1.02, CurLR: 0.0004
Epoch [1/10] - Batch [78/250] Loss: 0.73, CurLR: 0.0004
Epoch [1/10] - Batch [79/250] Loss: 0.94, CurLR: 0.0004
Epoch [1/10] - Batch [80/250] Loss: 0.90, CurLR: 0.0004
Epoch [1/10] - Batch [81/250] Loss: 0.98, CurLR: 0.0004
Epoch [1/10] - Batch [82/250] Loss: 0.93, CurLR: 0.0004
Epoch [1/10] - Batch [83/250] Loss: 0.89, CurLR: 0.0004
Epoch [1/10] - Batch [84/250] Loss: 0.94, CurLR: 0.0004
Epoch [1/10] - Batch [85/250] Loss: 0.86, CurLR: 0.0004
Epoch [1/10] - Batch [86/250] Loss: 0.91, CurLR: 0.0004
Epoch [1/10] - Batch [87/250] Loss: 0.87, CurLR: 0.0004
