
==========

Using device:  cuda
Model: vit_base
Learning Rate: 0.0003
LR Scheduler: cosinealr
Epochs: 5
Batch Size: 128

==========Starting Training========

Epoch [1/5] - Batch [1/250] Loss: 3.86, CurLR: 0.0003
Epoch [1/5] - Batch [2/250] Loss: 3.78, CurLR: 0.0003
Epoch [1/5] - Batch [3/250] Loss: 3.70, CurLR: 0.0003
Epoch [1/5] - Batch [4/250] Loss: 3.76, CurLR: 0.0003
Epoch [1/5] - Batch [5/250] Loss: 3.79, CurLR: 0.0003
Epoch [1/5] - Batch [6/250] Loss: 3.74, CurLR: 0.0003
Epoch [1/5] - Batch [7/250] Loss: 3.78, CurLR: 0.0003
Epoch [1/5] - Batch [8/250] Loss: 3.70, CurLR: 0.0003
Epoch [1/5] - Batch [9/250] Loss: 3.74, CurLR: 0.0003
Epoch [1/5] - Batch [10/250] Loss: 3.72, CurLR: 0.0003
Epoch [1/5] - Batch [11/250] Loss: 3.57, CurLR: 0.0003
Epoch [1/5] - Batch [12/250] Loss: 3.68, CurLR: 0.0003
Epoch [1/5] - Batch [13/250] Loss: 3.59, CurLR: 0.0003
Epoch [1/5] - Batch [14/250] Loss: 3.68, CurLR: 0.0003
Epoch [1/5] - Batch [15/250] Loss: 3.49, CurLR: 0.0003
Epoch [1/5] - Batch [16/250] Loss: 3.67, CurLR: 0.0003
Epoch [1/5] - Batch [17/250] Loss: 3.55, CurLR: 0.0003
Epoch [1/5] - Batch [18/250] Loss: 3.65, CurLR: 0.0003
Epoch [1/5] - Batch [19/250] Loss: 3.42, CurLR: 0.0003
Epoch [1/5] - Batch [20/250] Loss: 3.66, CurLR: 0.0003
Epoch [1/5] - Batch [21/250] Loss: 3.58, CurLR: 0.0003
Epoch [1/5] - Batch [22/250] Loss: 3.61, CurLR: 0.0003
Epoch [1/5] - Batch [23/250] Loss: 3.63, CurLR: 0.0003
Epoch [1/5] - Batch [24/250] Loss: 3.35, CurLR: 0.0003
Epoch [1/5] - Batch [25/250] Loss: 3.58, CurLR: 0.0003
Epoch [1/5] - Batch [26/250] Loss: 3.37, CurLR: 0.0003
Epoch [1/5] - Batch [27/250] Loss: 3.64, CurLR: 0.0003
Epoch [1/5] - Batch [28/250] Loss: 3.56, CurLR: 0.0003
Epoch [1/5] - Batch [29/250] Loss: 3.41, CurLR: 0.0003
Epoch [1/5] - Batch [30/250] Loss: 3.33, CurLR: 0.0003
Epoch [1/5] - Batch [31/250] Loss: 3.32, CurLR: 0.0003
Epoch [1/5] - Batch [32/250] Loss: 3.20, CurLR: 0.0003
Epoch [1/5] - Batch [33/250] Loss: 3.52, CurLR: 0.0003
Epoch [1/5] - Batch [34/250] Loss: 3.30, CurLR: 0.0003
Epoch [1/5] - Batch [35/250] Loss: 3.54, CurLR: 0.0003
Epoch [1/5] - Batch [36/250] Loss: 3.54, CurLR: 0.0003
Epoch [1/5] - Batch [37/250] Loss: 3.26, CurLR: 0.0003
Epoch [1/5] - Batch [38/250] Loss: 3.20, CurLR: 0.0003
Epoch [1/5] - Batch [39/250] Loss: 3.13, CurLR: 0.0003
Epoch [1/5] - Batch [40/250] Loss: 3.21, CurLR: 0.0003
Epoch [1/5] - Batch [41/250] Loss: 3.11, CurLR: 0.0003
Epoch [1/5] - Batch [42/250] Loss: 3.50, CurLR: 0.0003
Epoch [1/5] - Batch [43/250] Loss: 3.37, CurLR: 0.0003
Epoch [1/5] - Batch [44/250] Loss: 3.07, CurLR: 0.0003
Epoch [1/5] - Batch [45/250] Loss: 3.45, CurLR: 0.0003
Epoch [1/5] - Batch [46/250] Loss: 3.35, CurLR: 0.0003
Epoch [1/5] - Batch [47/250] Loss: 3.11, CurLR: 0.0003
Epoch [1/5] - Batch [48/250] Loss: 3.30, CurLR: 0.0003
Epoch [1/5] - Batch [49/250] Loss: 3.50, CurLR: 0.0003
Epoch [1/5] - Batch [50/250] Loss: 2.98, CurLR: 0.0003
Epoch [1/5] - Batch [51/250] Loss: 3.33, CurLR: 0.0003
