
==========

Using device:  cuda
Model: vit_base
Learning Rate: 0.0003
LR Scheduler: None
Epochs: 5
Batch Size: 4

==========Starting Training========

Epoch [1/5] - Batch [1/8000] Loss: 3.91, CurLR: 0.0003
Epoch [1/5] - Batch [2/8000] Loss: 4.07, CurLR: 0.0003
Epoch [1/5] - Batch [3/8000] Loss: 4.04, CurLR: 0.0003
Epoch [1/5] - Batch [4/8000] Loss: 3.91, CurLR: 0.0003
Epoch [1/5] - Batch [5/8000] Loss: 4.12, CurLR: 0.0003
Epoch [1/5] - Batch [6/8000] Loss: 3.49, CurLR: 0.0003
Epoch [1/5] - Batch [7/8000] Loss: 5.04, CurLR: 0.0003
Epoch [1/5] - Batch [8/8000] Loss: 4.46, CurLR: 0.0003
Epoch [1/5] - Batch [9/8000] Loss: 3.64, CurLR: 0.0003
Epoch [1/5] - Batch [10/8000] Loss: 4.29, CurLR: 0.0003
Epoch [1/5] - Batch [11/8000] Loss: 4.01, CurLR: 0.0003
Epoch [1/5] - Batch [12/8000] Loss: 3.63, CurLR: 0.0003
Epoch [1/5] - Batch [13/8000] Loss: 3.41, CurLR: 0.0003
Epoch [1/5] - Batch [14/8000] Loss: 4.32, CurLR: 0.0003
Epoch [1/5] - Batch [15/8000] Loss: 4.36, CurLR: 0.0003
Epoch [1/5] - Batch [16/8000] Loss: 3.85, CurLR: 0.0003
Epoch [1/5] - Batch [17/8000] Loss: 3.76, CurLR: 0.0003
Epoch [1/5] - Batch [18/8000] Loss: 4.37, CurLR: 0.0003
Epoch [1/5] - Batch [19/8000] Loss: 4.40, CurLR: 0.0003
Epoch [1/5] - Batch [20/8000] Loss: 3.81, CurLR: 0.0003
Epoch [1/5] - Batch [21/8000] Loss: 4.50, CurLR: 0.0003
Epoch [1/5] - Batch [22/8000] Loss: 3.34, CurLR: 0.0003
Epoch [1/5] - Batch [23/8000] Loss: 3.72, CurLR: 0.0003
Epoch [1/5] - Batch [24/8000] Loss: 4.43, CurLR: 0.0003
Epoch [1/5] - Batch [25/8000] Loss: 4.03, CurLR: 0.0003
Epoch [1/5] - Batch [26/8000] Loss: 3.99, CurLR: 0.0003
Epoch [1/5] - Batch [27/8000] Loss: 3.67, CurLR: 0.0003
Epoch [1/5] - Batch [28/8000] Loss: 3.61, CurLR: 0.0003
Epoch [1/5] - Batch [29/8000] Loss: 4.46, CurLR: 0.0003
Epoch [1/5] - Batch [30/8000] Loss: 4.06, CurLR: 0.0003
Epoch [1/5] - Batch [31/8000] Loss: 4.39, CurLR: 0.0003
Epoch [1/5] - Batch [32/8000] Loss: 3.79, CurLR: 0.0003
Epoch [1/5] - Batch [33/8000] Loss: 3.95, CurLR: 0.0003
Epoch [1/5] - Batch [34/8000] Loss: 3.77, CurLR: 0.0003
Epoch [1/5] - Batch [35/8000] Loss: 3.73, CurLR: 0.0003
Epoch [1/5] - Batch [36/8000] Loss: 3.89, CurLR: 0.0003
Epoch [1/5] - Batch [37/8000] Loss: 3.71, CurLR: 0.0003
Epoch [1/5] - Batch [38/8000] Loss: 3.79, CurLR: 0.0003
Epoch [1/5] - Batch [39/8000] Loss: 3.64, CurLR: 0.0003
Epoch [1/5] - Batch [40/8000] Loss: 4.05, CurLR: 0.0003
Epoch [1/5] - Batch [41/8000] Loss: 4.24, CurLR: 0.0003
Epoch [1/5] - Batch [42/8000] Loss: 3.75, CurLR: 0.0003
Epoch [1/5] - Batch [43/8000] Loss: 3.47, CurLR: 0.0003
Epoch [1/5] - Batch [44/8000] Loss: 3.62, CurLR: 0.0003
Epoch [1/5] - Batch [45/8000] Loss: 3.67, CurLR: 0.0003
Epoch [1/5] - Batch [46/8000] Loss: 4.09, CurLR: 0.0003
Epoch [1/5] - Batch [47/8000] Loss: 3.82, CurLR: 0.0003
Epoch [1/5] - Batch [48/8000] Loss: 4.18, CurLR: 0.0003
Epoch [1/5] - Batch [49/8000] Loss: 3.76, CurLR: 0.0003
Epoch [1/5] - Batch [50/8000] Loss: 3.66, CurLR: 0.0003
Epoch [1/5] - Batch [51/8000] Loss: 3.65, CurLR: 0.0003
Epoch [1/5] - Batch [52/8000] Loss: 4.15, CurLR: 0.0003
Epoch [1/5] - Batch [53/8000] Loss: 3.87, CurLR: 0.0003
Epoch [1/5] - Batch [54/8000] Loss: 3.72, CurLR: 0.0003
Epoch [1/5] - Batch [55/8000] Loss: 4.21, CurLR: 0.0003
Epoch [1/5] - Batch [56/8000] Loss: 3.84, CurLR: 0.0003
Epoch [1/5] - Batch [57/8000] Loss: 4.16, CurLR: 0.0003
Epoch [1/5] - Batch [58/8000] Loss: 3.92, CurLR: 0.0003
Epoch [1/5] - Batch [59/8000] Loss: 3.88, CurLR: 0.0003
Epoch [1/5] - Batch [60/8000] Loss: 3.89, CurLR: 0.0003
Epoch [1/5] - Batch [61/8000] Loss: 3.84, CurLR: 0.0003
Epoch [1/5] - Batch [62/8000] Loss: 4.14, CurLR: 0.0003
Epoch [1/5] - Batch [63/8000] Loss: 3.82, CurLR: 0.0003
Epoch [1/5] - Batch [64/8000] Loss: 4.00, CurLR: 0.0003
Epoch [1/5] - Batch [65/8000] Loss: 4.26, CurLR: 0.0003
Epoch [1/5] - Batch [66/8000] Loss: 3.77, CurLR: 0.0003
Epoch [1/5] - Batch [67/8000] Loss: 3.59, CurLR: 0.0003
Epoch [1/5] - Batch [68/8000] Loss: 3.92, CurLR: 0.0003
Epoch [1/5] - Batch [69/8000] Loss: 4.04, CurLR: 0.0003
Epoch [1/5] - Batch [70/8000] Loss: 3.83, CurLR: 0.0003
Epoch [1/5] - Batch [71/8000] Loss: 4.14, CurLR: 0.0003
Epoch [1/5] - Batch [72/8000] Loss: 3.41, CurLR: 0.0003
Epoch [1/5] - Batch [73/8000] Loss: 4.06, CurLR: 0.0003
Epoch [1/5] - Batch [74/8000] Loss: 4.26, CurLR: 0.0003
Epoch [1/5] - Batch [75/8000] Loss: 4.05, CurLR: 0.0003
Epoch [1/5] - Batch [76/8000] Loss: 3.27, CurLR: 0.0003
Epoch [1/5] - Batch [77/8000] Loss: 3.59, CurLR: 0.0003
Epoch [1/5] - Batch [78/8000] Loss: 3.63, CurLR: 0.0003
Epoch [1/5] - Batch [79/8000] Loss: 3.74, CurLR: 0.0003
Epoch [1/5] - Batch [80/8000] Loss: 3.74, CurLR: 0.0003
Epoch [1/5] - Batch [81/8000] Loss: 3.79, CurLR: 0.0003
Epoch [1/5] - Batch [82/8000] Loss: 3.86, CurLR: 0.0003
Epoch [1/5] - Batch [83/8000] Loss: 3.69, CurLR: 0.0003
Epoch [1/5] - Batch [84/8000] Loss: 3.50, CurLR: 0.0003
Epoch [1/5] - Batch [85/8000] Loss: 4.05, CurLR: 0.0003
Epoch [1/5] - Batch [86/8000] Loss: 3.77, CurLR: 0.0003
Epoch [1/5] - Batch [87/8000] Loss: 3.91, CurLR: 0.0003
Epoch [1/5] - Batch [88/8000] Loss: 3.47, CurLR: 0.0003
Epoch [1/5] - Batch [89/8000] Loss: 3.79, CurLR: 0.0003
Epoch [1/5] - Batch [90/8000] Loss: 3.80, CurLR: 0.0003
Epoch [1/5] - Batch [91/8000] Loss: 3.72, CurLR: 0.0003
Epoch [1/5] - Batch [92/8000] Loss: 4.12, CurLR: 0.0003
Epoch [1/5] - Batch [93/8000] Loss: 4.28, CurLR: 0.0003
Epoch [1/5] - Batch [94/8000] Loss: 4.11, CurLR: 0.0003
Epoch [1/5] - Batch [95/8000] Loss: 4.17, CurLR: 0.0003
Epoch [1/5] - Batch [96/8000] Loss: 3.68, CurLR: 0.0003
Epoch [1/5] - Batch [97/8000] Loss: 3.50, CurLR: 0.0003
Epoch [1/5] - Batch [98/8000] Loss: 3.65, CurLR: 0.0003
Epoch [1/5] - Batch [99/8000] Loss: 3.78, CurLR: 0.0003
Epoch [1/5] - Batch [100/8000] Loss: 3.87, CurLR: 0.0003
Epoch [1/5] - Batch [101/8000] Loss: 3.46, CurLR: 0.0003
Epoch [1/5] - Batch [102/8000] Loss: 3.80, CurLR: 0.0003
Epoch [1/5] - Batch [103/8000] Loss: 3.91, CurLR: 0.0003
Epoch [1/5] - Batch [104/8000] Loss: 3.89, CurLR: 0.0003
Epoch [1/5] - Batch [105/8000] Loss: 3.65, CurLR: 0.0003
Epoch [1/5] - Batch [106/8000] Loss: 3.84, CurLR: 0.0003
Epoch [1/5] - Batch [107/8000] Loss: 3.91, CurLR: 0.0003
Epoch [1/5] - Batch [108/8000] Loss: 3.79, CurLR: 0.0003
Epoch [1/5] - Batch [109/8000] Loss: 3.74, CurLR: 0.0003
Epoch [1/5] - Batch [110/8000] Loss: 3.83, CurLR: 0.0003
Epoch [1/5] - Batch [111/8000] Loss: 3.84, CurLR: 0.0003
Epoch [1/5] - Batch [112/8000] Loss: 3.89, CurLR: 0.0003
Epoch [1/5] - Batch [113/8000] Loss: 3.70, CurLR: 0.0003
Epoch [1/5] - Batch [114/8000] Loss: 3.78, CurLR: 0.0003
Epoch [1/5] - Batch [115/8000] Loss: 3.80, CurLR: 0.0003
Epoch [1/5] - Batch [116/8000] Loss: 3.48, CurLR: 0.0003
Epoch [1/5] - Batch [117/8000] Loss: 3.54, CurLR: 0.0003
Epoch [1/5] - Batch [118/8000] Loss: 3.67, CurLR: 0.0003
Epoch [1/5] - Batch [119/8000] Loss: 3.72, CurLR: 0.0003
Epoch [1/5] - Batch [120/8000] Loss: 3.39, CurLR: 0.0003
Epoch [1/5] - Batch [121/8000] Loss: 3.64, CurLR: 0.0003
Epoch [1/5] - Batch [122/8000] Loss: 3.42, CurLR: 0.0003
Epoch [1/5] - Batch [123/8000] Loss: 4.16, CurLR: 0.0003
Epoch [1/5] - Batch [124/8000] Loss: 3.41, CurLR: 0.0003
Epoch [1/5] - Batch [125/8000] Loss: 3.48, CurLR: 0.0003
Epoch [1/5] - Batch [126/8000] Loss: 4.37, CurLR: 0.0003
Epoch [1/5] - Batch [127/8000] Loss: 4.26, CurLR: 0.0003
Epoch [1/5] - Batch [128/8000] Loss: 4.27, CurLR: 0.0003
Epoch [1/5] - Batch [129/8000] Loss: 3.36, CurLR: 0.0003
Epoch [1/5] - Batch [130/8000] Loss: 3.83, CurLR: 0.0003
Epoch [1/5] - Batch [131/8000] Loss: 4.03, CurLR: 0.0003
Epoch [1/5] - Batch [132/8000] Loss: 3.69, CurLR: 0.0003
Epoch [1/5] - Batch [133/8000] Loss: 3.82, CurLR: 0.0003
Epoch [1/5] - Batch [134/8000] Loss: 4.04, CurLR: 0.0003
